;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/9/2017 5:59:47 PM
;----------------------------------------------

;Address Opcode 	ASM
;demo_simple_8.c,167 :: 		}
0x0038	0x2846      	GOTO       L_interrupt7
L_interrupt6:
;demo_simple_8.c,168 :: 		else if (MOSdriveState == drvMOS2){
0x0039	0x082A      	MOVF       _MOSdriveState, 0
0x003A	0x3A02      	XORLW      2
0x003B	0x1D03      	BTFSS      STATUS, 2
0x003C	0x2846      	GOTO       L_interrupt8
;demo_simple_8.c,169 :: 		MOS1 = 0;
0x003D	0x1307      	BCF        RC6_bit, 6
;demo_simple_8.c,170 :: 		delay_us(1);
0x003E	0x0000      	NOP
0x003F	0x0000      	NOP
0x0040	0x0000      	NOP
0x0041	0x0000      	NOP
0x0042	0x0000      	NOP
;demo_simple_8.c,171 :: 		MOS2 = 1;
0x0043	0x1687      	BSF        RC5_bit, 5
;demo_simple_8.c,173 :: 		MOSdriveState = drvMOS1;
0x0044	0x3001      	MOVLW      1
0x0045	0x00AA      	MOVWF      _MOSdriveState
;demo_simple_8.c,174 :: 		}
L_interrupt8:
L_interrupt7:
;demo_simple_8.c,175 :: 		}
L_interrupt5:
;demo_simple_8.c,177 :: 		}
0x0046	0x2849      	GOTO       L_interrupt9
L_interrupt2:
;demo_simple_8.c,179 :: 		MOS1 = 0;
0x0047	0x1307      	BCF        RC6_bit, 6
;demo_simple_8.c,180 :: 		MOS2 = 0;
0x0048	0x1287      	BCF        RC5_bit, 5
;demo_simple_8.c,181 :: 		}
L_interrupt9:
;demo_simple_8.c,183 :: 		}
0x0049	0x2863      	GOTO       L_interrupt10
L_interrupt1:
;demo_simple_8.c,186 :: 		cdCounter++;
0x004A	0x0A34      	INCF       _cdCounter, 0
0x004B	0x00F0      	MOVWF      R0
0x004C	0x0870      	MOVF       R0, 0
0x004D	0x00B4      	MOVWF      _cdCounter
;demo_simple_8.c,187 :: 		if (cdCounter == chargingDuty){
0x004E	0x0834      	MOVF       _cdCounter, 0
0x004F	0x062E      	XORWF      _chargingDuty, 0
0x0050	0x1D03      	BTFSS      STATUS, 2
0x0051	0x2862      	GOTO       L_interrupt11
;demo_simple_8.c,188 :: 		if ((hicutreached == 0) && (chargingEnabled == 1)){
0x0052	0x083D      	MOVF       _hicutreached, 0
0x0053	0x3A00      	XORLW      0
0x0054	0x1D03      	BTFSS      STATUS, 2
0x0055	0x2860      	GOTO       L_interrupt14
0x0056	0x3000      	MOVLW      0
0x0057	0x0623      	XORWF      _chargingEnabled+1, 0
0x0058	0x1D03      	BTFSS      STATUS, 2
0x0059	0x285C      	GOTO       L__interrupt175
0x005A	0x3001      	MOVLW      1
0x005B	0x0622      	XORWF      _chargingEnabled, 0
L__interrupt175:
0x005C	0x1D03      	BTFSS      STATUS, 2
0x005D	0x2860      	GOTO       L_interrupt14
L__interrupt173:
;demo_simple_8.c,189 :: 		Triac = 1;       // fire Triac
0x005E	0x1586      	BSF        RB3_bit, 3
;demo_simple_8.c,190 :: 		}
0x005F	0x2861      	GOTO       L_interrupt15
L_interrupt14:
;demo_simple_8.c,192 :: 		Triac = 0;
0x0060	0x1186      	BCF        RB3_bit, 3
;demo_simple_8.c,193 :: 		}
L_interrupt15:
;demo_simple_8.c,194 :: 		}
0x0061	0x2863      	GOTO       L_interrupt16
L_interrupt11:
;demo_simple_8.c,196 :: 		Triac = 0;      // ensure Triac is off
0x0062	0x1186      	BCF        RB3_bit, 3
;demo_simple_8.c,197 :: 		}
L_interrupt16:
;demo_simple_8.c,200 :: 		}
L_interrupt10:
;demo_simple_8.c,201 :: 		TMR2 = 0;
0x0063	0x0191      	CLRF       TMR2
;demo_simple_8.c,202 :: 		TMR2IF_bit = 0;
0x0064	0x108C      	BCF        TMR2IF_bit, 1
;demo_simple_8.c,203 :: 		}
L_interrupt0:
;demo_simple_8.c,205 :: 		if (INTF_bit){
0x0065	0x1C8B      	BTFSS      INTF_bit, 1
0x0066	0x2876      	GOTO       L_interrupt17
;demo_simple_8.c,206 :: 		cdCounter = 0;
0x0067	0x01B4      	CLRF       _cdCounter
;demo_simple_8.c,207 :: 		INTF_bit = 0;
0x0068	0x108B      	BCF        INTF_bit, 1
;demo_simple_8.c,208 :: 		TMR2 = 0; TMR2IF_bit = 0;
0x0069	0x0191      	CLRF       TMR2
0x006A	0x108C      	BCF        TMR2IF_bit, 1
;demo_simple_8.c,209 :: 		pulseCounter++;
0x006B	0x0A4A      	INCF       _pulseCounter, 0
0x006C	0x00F0      	MOVWF      R0
0x006D	0x0870      	MOVF       R0, 0
0x006E	0x00CA      	MOVWF      _pulseCounter
;demo_simple_8.c,210 :: 		if (pulseCounter == 4){
0x006F	0x084A      	MOVF       _pulseCounter, 0
0x0070	0x3A04      	XORLW      4
0x0071	0x1D03      	BTFSS      STATUS, 2
0x0072	0x2876      	GOTO       L_interrupt18
;demo_simple_8.c,211 :: 		pulseCounter = 0;
0x0073	0x01CA      	CLRF       _pulseCounter
;demo_simple_8.c,212 :: 		chargingDuty = firing;
0x0074	0x082F      	MOVF       _firing, 0
0x0075	0x00AE      	MOVWF      _chargingDuty
;demo_simple_8.c,213 :: 		}
L_interrupt18:
;demo_simple_8.c,214 :: 		}
L_interrupt17:
;demo_simple_8.c,215 :: 		}
L__interrupt174:
0x0076	0x0820      	MOVF       32, 0
0x0077	0x00F0      	MOVWF      R0
0x0078	0x0863      	MOVF       ___savePCLATH, 0
0x0079	0x008A      	MOVWF      PCLATH
0x007A	0x0E62      	SWAPF      ___saveSTATUS, 0
0x007B	0x0083      	MOVWF      STATUS
0x007C	0x0EFF      	SWAPF      R15, 1
0x007D	0x0E7F      	SWAPF      R15, 0
0x007E	0x0009      	RETFIE
; end of _interrupt
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x007F	0x0000      	NOP
0x0080	0x0000      	NOP
0x0081	0x0000      	NOP
0x0082	0x0000      	NOP
0x0083	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
0x0084	0x0008      	RETURN
; end of _Delay_1us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0085	0x3024      	MOVLW      36
0x0086	0x1283      	BCF        STATUS, 5
0x0087	0x1303      	BCF        STATUS, 6
0x0088	0x00FC      	MOVWF      R12
0x0089	0x30B5      	MOVLW      181
0x008A	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x008B	0x0BFD      	DECFSZ     R13, 1
0x008C	0x288B      	GOTO       L_Delay_5500us5
0x008D	0x0BFC      	DECFSZ     R12, 1
0x008E	0x288B      	GOTO       L_Delay_5500us5
0x008F	0x0000      	NOP
0x0090	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
0x0091	0x0008      	RETURN
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0092	0x3053      	MOVLW      83
0x0093	0x1283      	BCF        STATUS, 5
0x0094	0x1303      	BCF        STATUS, 6
0x0095	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x0096	0x0BFD      	DECFSZ     R13, 1
0x0097	0x2896      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
0x0098	0x0008      	RETURN
; end of _Delay_50us
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x0099	0x3024      	MOVLW      36
0x009A	0x1283      	BCF        STATUS, 5
0x009B	0x1303      	BCF        STATUS, 6
0x009C	0x00FD      	MOVWF      R13
L_Delay_22us1:
0x009D	0x0BFD      	DECFSZ     R13, 1
0x009E	0x289D      	GOTO       L_Delay_22us1
0x009F	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
0x00A0	0x0008      	RETURN
; end of _Delay_22us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00A1	0x1283      	BCF        STATUS, 5
0x00A2	0x1303      	BCF        STATUS, 6
0x00A3	0x1BEC      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00A4	0x28A7      	GOTO       L__Lcd_Cmd20
0x00A5	0x1007      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00A6	0x28A8      	GOTO       L__Lcd_Cmd21
L__Lcd_Cmd20:
0x00A7	0x1407      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd21:
;__Lib_Lcd.c,21 :: 		
0x00A8	0x1B6C      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00A9	0x28AC      	GOTO       L__Lcd_Cmd22
0x00AA	0x1087      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00AB	0x28AD      	GOTO       L__Lcd_Cmd23
L__Lcd_Cmd22:
0x00AC	0x1487      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd23:
;__Lib_Lcd.c,22 :: 		
0x00AD	0x1AEC      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00AE	0x28B1      	GOTO       L__Lcd_Cmd24
0x00AF	0x1107      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00B0	0x28B2      	GOTO       L__Lcd_Cmd25
L__Lcd_Cmd24:
0x00B1	0x1507      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd25:
;__Lib_Lcd.c,23 :: 		
0x00B2	0x1A6C      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00B3	0x28B6      	GOTO       L__Lcd_Cmd26
0x00B4	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00B5	0x28B7      	GOTO       L__Lcd_Cmd27
L__Lcd_Cmd26:
0x00B6	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd27:
;__Lib_Lcd.c,25 :: 		
0x00B7	0x1850      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00B8	0x28BB      	GOTO       L__Lcd_Cmd28
0x00B9	0x1607      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00BA	0x28BC      	GOTO       L__Lcd_Cmd29
L__Lcd_Cmd28:
0x00BB	0x1207      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd29:
;__Lib_Lcd.c,28 :: 		
0x00BC	0x1786      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00BD	0x207F      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00BE	0x1386      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00BF	0x19EC      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00C0	0x28C3      	GOTO       L__Lcd_Cmd30
0x00C1	0x1007      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00C2	0x28C4      	GOTO       L__Lcd_Cmd31
L__Lcd_Cmd30:
0x00C3	0x1407      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd31:
;__Lib_Lcd.c,34 :: 		
0x00C4	0x196C      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00C5	0x28C8      	GOTO       L__Lcd_Cmd32
0x00C6	0x1087      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00C7	0x28C9      	GOTO       L__Lcd_Cmd33
L__Lcd_Cmd32:
0x00C8	0x1487      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd33:
;__Lib_Lcd.c,35 :: 		
0x00C9	0x18EC      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00CA	0x28CD      	GOTO       L__Lcd_Cmd34
0x00CB	0x1107      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00CC	0x28CE      	GOTO       L__Lcd_Cmd35
L__Lcd_Cmd34:
0x00CD	0x1507      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd35:
;__Lib_Lcd.c,36 :: 		
0x00CE	0x186C      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00CF	0x28D2      	GOTO       L__Lcd_Cmd36
0x00D0	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00D1	0x28D3      	GOTO       L__Lcd_Cmd37
L__Lcd_Cmd36:
0x00D2	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd37:
;__Lib_Lcd.c,38 :: 		
0x00D3	0x1850      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00D4	0x28D7      	GOTO       L__Lcd_Cmd38
0x00D5	0x1607      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00D6	0x28D8      	GOTO       L__Lcd_Cmd39
L__Lcd_Cmd38:
0x00D7	0x1207      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd39:
;__Lib_Lcd.c,40 :: 		
0x00D8	0x1786      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x00D9	0x207F      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x00DA	0x1386      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x00DB	0x1C50      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00DC	0x28DF      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x00DD	0x2085      	CALL       _Delay_5500us
0x00DE	0x28E0      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x00DF	0x2092      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
0x00E0	0x0008      	RETURN
; end of _Lcd_Cmd
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x00E1	0x1283      	BCF        STATUS, 5
0x00E2	0x1303      	BCF        STATUS, 6
0x00E3	0x1050      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x00E4	0x0869      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x00E5	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x00E6	0x20A1      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x00E7	0x1450      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
0x00E8	0x0008      	RETURN
; end of _Lcd_Chr_CP
_ADC_Init:
;__Lib_ADC_A_A.c,8 :: 		
;__Lib_ADC_A_A.c,9 :: 		
0x00E9	0x3058      	MOVLW      _ADC_Get_Sample
0x00EA	0x1283      	BCF        STATUS, 5
0x00EB	0x1303      	BCF        STATUS, 6
0x00EC	0x00CD      	MOVWF      _ADC_Get_Sample_Ptr
0x00ED	0x3001      	MOVLW      hi_addr(_ADC_Get_Sample)
0x00EE	0x00CE      	MOVWF      _ADC_Get_Sample_Ptr+1
0x00EF	0x3021      	MOVLW      FARG_ADC_Get_Sample_channel
0x00F0	0x00CF      	MOVWF      _ADC_Get_Sample_Ptr+2
0x00F1	0x3000      	MOVLW      hi_addr(FARG_ADC_Get_Sample_channel)
;__Lib_ADC_A_A.c,11 :: 		
0x00F2	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_A.c,12 :: 		
0x00F3	0x30C0      	MOVLW      192
0x00F4	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_A.c,13 :: 		
0x00F5	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_A.c,14 :: 		
0x00F6	0x0008      	RETURN
; end of _ADC_Init
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x00F7	0x2909      	GOTO       L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x00F8	0x3080      	MOVLW      128
0x00F9	0x1283      	BCF        STATUS, 5
0x00FA	0x1303      	BCF        STATUS, 6
0x00FB	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x00FC	0x291C      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x00FD	0x30C0      	MOVLW      192
0x00FE	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x00FF	0x291C      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x0100	0x3094      	MOVLW      148
0x0101	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x0102	0x291C      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,70 :: 		
L_Lcd_Chr9:
0x0103	0x30D4      	MOVLW      212
0x0104	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x0105	0x291C      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,71 :: 		
L_Lcd_Chr10:
0x0106	0x3080      	MOVLW      128
0x0107	0x00E9      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,72 :: 		
0x0108	0x291C      	GOTO       L_Lcd_Chr5
L_Lcd_Chr4:
0x0109	0x1283      	BCF        STATUS, 5
0x010A	0x1303      	BCF        STATUS, 6
0x010B	0x0869      	MOVF       FARG_Lcd_Chr_row, 0
0x010C	0x3A01      	XORLW      1
0x010D	0x1903      	BTFSC      STATUS, 2
0x010E	0x28F8      	GOTO       L_Lcd_Chr6
0x010F	0x0869      	MOVF       FARG_Lcd_Chr_row, 0
0x0110	0x3A02      	XORLW      2
0x0111	0x1903      	BTFSC      STATUS, 2
0x0112	0x28FD      	GOTO       L_Lcd_Chr7
0x0113	0x0869      	MOVF       FARG_Lcd_Chr_row, 0
0x0114	0x3A03      	XORLW      3
0x0115	0x1903      	BTFSC      STATUS, 2
0x0116	0x2900      	GOTO       L_Lcd_Chr8
0x0117	0x0869      	MOVF       FARG_Lcd_Chr_row, 0
0x0118	0x3A04      	XORLW      4
0x0119	0x1903      	BTFSC      STATUS, 2
0x011A	0x2903      	GOTO       L_Lcd_Chr9
0x011B	0x2906      	GOTO       L_Lcd_Chr10
L_Lcd_Chr5:
;__Lib_Lcd.c,74 :: 		
0x011C	0x036A      	DECF       FARG_Lcd_Chr_column, 0
0x011D	0x00F0      	MOVWF      R0
0x011E	0x0869      	MOVF       FARG_Lcd_Chr_row, 0
0x011F	0x07F0      	ADDWF      R0, 1
0x0120	0x0870      	MOVF       R0, 0
0x0121	0x00E9      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,76 :: 		
0x0122	0x1450      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,77 :: 		
0x0123	0x0870      	MOVF       R0, 0
0x0124	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0125	0x20A1      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,79 :: 		
0x0126	0x1050      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,80 :: 		
0x0127	0x086B      	MOVF       FARG_Lcd_Chr_out_char, 0
0x0128	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0129	0x20A1      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,81 :: 		
0x012A	0x1450      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,82 :: 		
0x012B	0x0008      	RETURN
; end of _Lcd_Chr
_Div_16x16_S_L:
;__Lib_Math.c,420 :: 		
;__Lib_Math.c,426 :: 		
0x012C	0x0D71      	RLF        R1, 0
;__Lib_Math.c,427 :: 		
0x012D	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,428 :: 		
0x012E	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,429 :: 		
0x012F	0x0874      	MOVF       R4, 0
;__Lib_Math.c,430 :: 		
0x0130	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,431 :: 		
0x0131	0x0875      	MOVF       R5, 0
;__Lib_Math.c,432 :: 		
0x0132	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,433 :: 		
0x0133	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,434 :: 		
0x0134	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,435 :: 		
0x0135	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,436 :: 		
0x0136	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,438 :: 		
0x0137	0x300F      	MOVLW      15
;__Lib_Math.c,439 :: 		
0x0138	0x00FC      	MOVWF      R12
;__Lib_Math.c,441 :: 		
0x0139	0x0D71      	RLF        R1, 0
;__Lib_Math.c,442 :: 		
0x013A	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,443 :: 		
0x013B	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,444 :: 		
0x013C	0x0874      	MOVF       R4, 0
;__Lib_Math.c,446 :: 		
0x013D	0x1C70      	BTFSS      R0, 0
;__Lib_Math.c,447 :: 		
0x013E	0x2945      	GOTO       $+7
;__Lib_Math.c,448 :: 		
0x013F	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,449 :: 		
0x0140	0x0875      	MOVF       R5, 0
;__Lib_Math.c,450 :: 		
0x0141	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,451 :: 		
0x0142	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,452 :: 		
0x0143	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,453 :: 		
0x0144	0x294A      	GOTO       $+6
;__Lib_Math.c,455 :: 		
0x0145	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,456 :: 		
0x0146	0x0875      	MOVF       R5, 0
;__Lib_Math.c,457 :: 		
0x0147	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,458 :: 		
0x0148	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,459 :: 		
0x0149	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,461 :: 		
0x014A	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,462 :: 		
0x014B	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,464 :: 		
0x014C	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,465 :: 		
0x014D	0x2939      	GOTO       $-20
;__Lib_Math.c,467 :: 		
0x014E	0x1870      	BTFSC      R0, 0
;__Lib_Math.c,468 :: 		
0x014F	0x2956      	GOTO       $+7
;__Lib_Math.c,469 :: 		
0x0150	0x0874      	MOVF       R4, 0
;__Lib_Math.c,470 :: 		
0x0151	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,471 :: 		
0x0152	0x0875      	MOVF       R5, 0
;__Lib_Math.c,472 :: 		
0x0153	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,473 :: 		
0x0154	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,474 :: 		
0x0155	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,475 :: 		
0x0156	0x0000      	NOP
;__Lib_Math.c,477 :: 		
0x0157	0x0008      	RETURN
; end of _Div_16x16_S_L
_ADC_Get_Sample:
;__Lib_ADC_A_A.c,17 :: 		
;__Lib_ADC_A_A.c,19 :: 		
0x0158	0x1283      	BCF        STATUS, 5
0x0159	0x1303      	BCF        STATUS, 6
0x015A	0x0821      	MOVF       FARG_ADC_Get_Sample_channel, 0
0x015B	0x00F0      	MOVWF      R0
0x015C	0x0DF0      	RLF        R0, 1
0x015D	0x1070      	BCF        R0, 0
0x015E	0x0DF0      	RLF        R0, 1
0x015F	0x1070      	BCF        R0, 0
0x0160	0x0DF0      	RLF        R0, 1
0x0161	0x1070      	BCF        R0, 0
0x0162	0x0870      	MOVF       R0, 0
